,ID,Producto,Cliente,Año,Periodo,Cantidad,Ingresos,Conteo,Costos,Margen
0,1,"Lobster - Baby, Boiled","Stanton, Predovic and Larson",2019,2,1.0,16.0,1.0,4.0,12.0
18,19,Sprouts - Onion,"Predovic, Pollich and Gislason",2019,2,0.0,0.0,0.0,0.0,0.0
26,27,Octopus,"Willms, Predovic and Rippin",2019,1,2.0,37.0,2.0,4.11,32.89
29,30,Veal - Ground,"Willms, Predovic and Rippin",2019,2,1.0,22.5,1.0,6.03,16.47
31,32,Veal - Ground,"Willms, Predovic and Rippin",2019,4,2.0,45.0,2.0,11.52,33.480000000000004
32,33,Veal - Ground,"Willms, Predovic and Rippin",2019,5,3.0,67.5,2.0,17.49,50.010000000000005
33,34,Veal - Ground,"Willms, Predovic and Rippin",2019,6,1.0,22.5,1.0,5.91,16.59
35,36,Tomatoes - Heirloom,"Willms, Predovic and Rippin",2019,1,3.0,36.9,3.0,8.47,28.43
38,39,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",2019,2,8.0,112.0,6.0,35.52,76.47999999999999
40,41,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",2019,3,3.0,42.0,3.0,13.19,28.810000000000002
41,42,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",2019,4,3.0,42.0,3.0,13.17,28.83
42,43,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",2019,5,1.0,28.0,2.0,15.84,12.16
43,44,"Wine - Red, Metus Rose","Willms, Predovic and Rippin",2019,6,1.0,14.0,1.0,4.35,9.65
45,46,"Soup - Campbells, Creamy","Willms, Predovic and Rippin",2019,1,1.0,16.0,1.0,4.99,11.01
48,49,"Juice - V8, Tomato","Willms, Predovic and Rippin",2019,2,4.0,77.0,1.0,33.0,44.0
50,51,"Juice - V8, Tomato","Willms, Predovic and Rippin",2019,4,1.0,19.25,1.0,8.25,11.0
55,56,Fresh Portabella - 5lbs,"Willms, Predovic and Rippin",2019,2,7.0,154.0,2.0,51.37,102.63
57,58,Fresh Portabella - 5lbs,"Willms, Predovic and Rippin",2019,3,16.0,352.0,3.0,117.91,234.09
58,59,Fresh Portabella - 5lbs,"Willms, Predovic and Rippin",2019,4,29.0,638.0,7.0,216.64,421.36
59,60,Fresh Portabella - 5lbs,"Willms, Predovic and Rippin",2019,5,12.0,264.0,2.0,89.75,174.25
60,61,Fresh Portabella - 5lbs,"Willms, Predovic and Rippin",2019,6,12.0,264.0,3.0,87.98,176.01999999999998
62,63,"Lamb - Leg, Boneless","Willms, Predovic and Rippin",2019,3,4.0,68.0,1.0,10.17,57.83
66,67,Sugar - Palm,"Willms, Predovic and Rippin",2019,1,7.0,178.0,4.0,63.22,114.78
71,72,Tarragon - Fresh,"Willms, Predovic and Rippin",2019,3,7.0,196.0,4.0,70.17,125.83
72,73,Tarragon - Fresh,"Willms, Predovic and Rippin",2019,4,4.0,114.0,2.0,40.4,73.6
73,74,Tarragon - Fresh,"Willms, Predovic and Rippin",2019,5,4.0,114.0,2.0,39.48,74.52000000000001
74,75,Tarragon - Fresh,"Willms, Predovic and Rippin",2019,6,1.0,28.5,1.0,9.79,18.71
76,77,Lobster - Tail 6 Oz,"Willms, Predovic and Rippin",2019,2,1.0,19.75,1.0,11.52,8.23
79,80,Flour - Chickpea,"Willms, Predovic and Rippin",2019,3,1.0,19.75,1.0,11.52,8.23
81,82,Flour - Chickpea,"Willms, Predovic and Rippin",2019,4,1.0,19.75,1.0,11.52,8.23
82,83,Flour - Chickpea,"Willms, Predovic and Rippin",2019,6,1.0,19.75,1.0,11.52,8.23
84,85,Island Oasis - Cappucino Mix,"Willms, Predovic and Rippin",2019,1,1.0,15.5,1.0,6.39,9.11
88,89,Pears - Bartlett,"Willms, Predovic and Rippin",2019,1,2.0,57.0,1.0,27.11,29.89
93,94,Garbage Bag - Clear,"Willms, Predovic and Rippin",2019,3,1.0,30.5,1.0,15.56,14.94
95,96,Hand Towel,"Willms, Predovic and Rippin",2019,1,3.0,125.0,3.0,42.49,82.50999999999999
98,99,Bulgar,"Willms, Predovic and Rippin",2019,2,7.0,273.0,5.0,72.67,200.32999999999998
100,101,Bulgar,"Willms, Predovic and Rippin",2019,3,5.0,216.0,3.0,67.2,148.8
101,102,Bulgar,"Willms, Predovic and Rippin",2019,4,2.0,84.0,2.0,23.38,60.620000000000005
102,103,Bulgar,"Willms, Predovic and Rippin",2019,5,3.0,117.0,3.0,26.08,90.92
104,105,Tomatoes,"Willms, Predovic and Rippin",2019,1,6.0,84.0,1.0,59.95,24.049999999999997
107,108,Chinese Foods - Plain Fried Rice,"Willms, Predovic and Rippin",2019,6,1.0,13.0,1.0,8.99,4.01
110,111,"Flour - Buckwheat, Dark","Willms, Predovic and Rippin",2019,1,2.0,96.0,2.0,39.75,56.25
113,114,Fiddlehead - Frozen,"Willms, Predovic and Rippin",2019,2,5.0,213.0,4.0,67.16,145.84
115,116,Fiddlehead - Frozen,"Willms, Predovic and Rippin",2019,3,6.0,264.0,4.0,87.96,176.04000000000002
116,117,Fiddlehead - Frozen,"Willms, Predovic and Rippin",2019,4,4.0,174.0,4.0,53.78,120.22
117,118,Fiddlehead - Frozen,"Willms, Predovic and Rippin",2019,5,4.0,172.1,4.0,51.0,121.1
119,120,Mix Pina Colada,"Willms, Predovic and Rippin",2019,6,1.0,15.25,1.0,11.37,3.880000000000001
123,124,Kohlrabi,"Willms, Predovic and Rippin",2019,2,1.0,14.0,1.0,9.87,4.130000000000001
126,127,Puree - Guava,"Willms, Predovic and Rippin",2019,5,1.0,14.0,1.0,9.87,4.130000000000001
129,130,Squash - Sunburst,"Willms, Predovic and Rippin",2019,2,2.0,45.0,1.0,24.33,20.67
133,134,Butter Balls Salted,"Willms, Predovic and Rippin",2019,2,4.0,95.0,1.0,55.32,39.68
140,141,Asparagus - Mexican,"Willms, Predovic and Rippin",2019,2,12.0,210.0,4.0,76.24,133.76
142,143,Asparagus - Mexican,"Willms, Predovic and Rippin",2019,3,15.0,281.25,8.0,114.02,167.23000000000002
143,144,Asparagus - Mexican,"Willms, Predovic and Rippin",2019,4,25.0,412.5,10.0,170.84,241.66
144,145,Asparagus - Mexican,"Willms, Predovic and Rippin",2019,5,19.0,356.25,8.0,144.42,211.83
145,146,Asparagus - Mexican,"Willms, Predovic and Rippin",2019,6,7.0,131.25,4.0,53.2,78.05
147,148,Pomegranates,"Willms, Predovic and Rippin",2019,5,8.0,200.0,3.0,95.72,104.28
153,154,Cookies - Assorted,"Willms, Predovic and Rippin",2019,5,1.0,30.0,1.0,17.85,12.149999999999999
157,158,Sugar - Icing,"Willms, Predovic and Rippin",2019,1,14.0,484.5,7.0,317.13,167.37
160,161,Evaporated Milk - Skim,"Willms, Predovic and Rippin",2019,2,10.0,365.0,4.0,245.45,119.55000000000001
167,168,Wine - Periguita Fonseca,"Willms, Predovic and Rippin",2019,1,8.0,140.0,2.0,87.8,52.2
170,171,Wild Mix 3#/cs,"Willms, Predovic and Rippin",2019,2,12.0,264.0,4.0,185.69,78.31
172,173,Wild Mix 3#/cs,"Willms, Predovic and Rippin",2019,5,2.0,44.0,1.0,30.95,13.05
173,174,Wild Mix 3#/cs,"Willms, Predovic and Rippin",2019,6,3.0,66.0,2.0,46.42,19.58
179,180,Hot Chocolate - Individual,"Willms, Predovic and Rippin",2019,4,1.0,30.0,1.0,18.15,11.850000000000001
183,184,"Yogurt - Peach, 175 Gr","Willms, Predovic and Rippin",2019,4,2.0,70.0,1.0,7.14,62.86
187,188,"Quail - Whole, Bone - In","Willms, Predovic and Rippin",2019,4,2.0,22.5,1.0,13.16,9.34
197,198,Muffin Mix - Lemon Cranberry,"Willms, Predovic and Rippin",2019,4,1.0,17.25,1.0,10.76,6.49
201,202,"Soup - Campbells, Lentil","Willms, Predovic and Rippin",2019,1,1.0,17.0,1.0,11.58,5.42
205,206,Rye Special Old,"Willms, Predovic and Rippin",2019,1,4.0,74.0,2.0,20.49,53.510000000000005
208,209,Fresh Cape Gooseberries 12 pp/cs,"Willms, Predovic and Rippin",2019,2,3.0,58.5,1.0,17.95,40.55
210,211,Fresh Cape Gooseberries 12 pp/cs,"Willms, Predovic and Rippin",2019,4,5.0,97.5,2.0,29.98,67.52
224,225,Octopus,Hammes and Sons,2019,3,3.0,61.5,3.0,11.16,50.34
227,228,Veal - Ground,Hammes and Sons,2019,4,9.0,184.5,9.0,34.12,150.38
229,230,Veal - Ground,Hammes and Sons,2019,5,7.0,164.0,8.0,27.05,136.95
230,231,Veal - Ground,Hammes and Sons,2019,6,8.0,164.0,8.0,31.2,132.8
247,248,"Crab - Dungeness, Whole",Hammes and Sons,2019,5,5.0,95.0,1.0,18.54,76.46000000000001
249,250,Tomatoes - Heirloom,Hammes and Sons,2019,1,1.0,12.3,1.0,2.88,9.420000000000002
252,253,"Wine - Red, Metus Rose",Hammes and Sons,2019,4,1.0,12.3,1.0,2.69,9.610000000000001
255,256,"Soup - Campbells, Creamy",Hammes and Sons,2019,1,10.0,157.0,5.0,46.89,110.11
258,259,"Juice - V8, Tomato",Hammes and Sons,2019,2,8.0,131.0,4.0,43.0,88.0
260,261,"Juice - V8, Tomato",Hammes and Sons,2019,3,9.0,148.5,4.0,49.5,99.0
261,262,"Juice - V8, Tomato",Hammes and Sons,2019,4,12.0,198.0,5.0,66.0,132.0
262,263,"Juice - V8, Tomato",Hammes and Sons,2019,5,14.0,231.0,5.0,74.13,156.87
263,264,"Juice - V8, Tomato",Hammes and Sons,2019,6,13.0,214.5,4.0,67.99,146.51
265,266,Kippers - Smoked,Hammes and Sons,2019,1,2.0,37.0,1.0,8.0,29.0
